Genre,Title,Movements,Year,Date,Natural Language Date,EDTF Date,Date Source,Where,Instrumentation,Orchestration,Estimated Duration,Manuscript Status French,Manuscript Status English,Collaborator?,Text Source,Scanned,Dedication,Notes,Premiere,Recording,Tempo Charted
Chamber Music/Musique de chambre,Suite dans le style ancien pour quatuor à cordes,1- Prélude; 2- Courante à la française; 3- Passepied 1; 4- Passepied 2; 5- Sarabande; 6- Giga,?,,,,,,Strinq Quartet,,13:00,inédit,Manuscript @ AD,,,X,,2 copies of the prelude,,,
Chamber Music/Musique de chambre,Suite renaissance pour trompette et orgue ou piano,"1- Modéré; 2- Modéré, Souple et gracieux; 3- Andantino cantabile; 4- Moderato con ritmo",1948,7/23,"July 23, 1948",1948-07-23,Score,Fontainebleau,"Trumpet, Organ, Piano",,,inédit,Manuscript @ AD,,,X,Dédiée à Roger Voisin de la Boston Symphony Orchestra,"2 versions, possibly 3 exist. 1st version completed on 1/15/48 in Marblehead. 1st version has 5 movements and is in a different key. 3rd version is for chamber orchestra of 1111 1100 Hp str 5tet",,,
Chamber Music/Musique de chambre,Sur la lyre suite pour saxophone alto et piano,1- Allégorie pastorale; 2- Le Chèvre-pied; 3- Les lamentations de Joë; 4- Petit nocturne des nuits lunaires; 5- Les Bacchantes; 6- Les fées bercent Titania; 7- Quand la brise s’accorde aux lyres,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Chamber Music/Musique de chambre,The Conqueror Sax,,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Chamber Music/Musique de chambre,The Golden Sax pour saxophone alto mi bémol avec accompagnement piano,,1934,3/9,"March 9, 1934",1934-03-09,Score,Paris?,"Alto Saxophone, Piano",,3:30,"Editions de Paris, 1934",Manuscript @ AD,,,X,Dédié à Rudy Wiedoeft,,,Jean-Pierre Baraglioli-saxophone,
Chamber Music/Musique de chambre,The Rex Sax pour saxophone alto mi bémol avec accompagnement piano,,1934,8/5,"August 5, 1934",1934-08-05,Score,Auzeville,"Alto Saxophone, Piano",,,Editions de Paris,Manuscript @ AD,,,X,No,,,Jean-Pierre Baraglioli-saxophone,
Chamber Music/Musique de chambre,Totem suite pour saxophones,,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Chamber Music/Musique de chambre,"Trio classique pour hautbois, clarinette et basson","1- Dans un mouvement souplé et sans lenteur. Trés expressif; 2- Allegro agitato; 3- Andante poco recitativo e molto espressivo; 4- Tempo moderato di Fuga, legato e serioso",?,,,,,,Reed Trio,,7:00,inédit,Manuscript @ AD,,,X,"Dédié à MM. Morel, Lefebvre et Oubradous",,,,
Chamber Music/Musique de chambre,"Trio pour flûte, basson et harpe",,?,,,,,Paris,"Flute, Bassoon, Harp",,,"inédit, fragmentaire (manque partie de harpe)",Fragments (missing harp) @ AD,,,,No,,,,
Chamber Music/Musique de chambre,"Variations en trio sur l’air du P’tit Quinquin pour hautbois, clarinette et basson",,1935,8/17,"August 17, 1935",1935-08-17,Score,Auzerville,Reed Trio,,7:00,Editions Gras,Manuscript @ AD,,,X,"Dédié au Trio d’anches de Paris, à MM. Morel, Lefebvre et Oubradous",Theme and 5 variations,,,
Chamber Music/Musique de chambre,Variations saxophoniques quatuor de saxophones,,1939,January 2-8,"January 2 1939 to January 9, 1939",1939-01-02/1939-01-08,Score,Toulouse,Saxophone Quartet,,15:00,inédit,Manuscript @ AD,,,X,,Theme and 11 variations,,,
Chamber Music/Musique de chambre,"Variations sur un air pyrénéen, trio pour hautbois, clarinette et basson",,1945,9/11,"September 11, 1945",1945-09-11,Score,Paris,"Oboe, Clarinet & Bassoon",,6:00,Editions Gras,Manuscript @ AD,,,X,Dédié à Fernand Oubradous,Theme and 14 variations,,Reference by Reeds Amis,
