Genre,Title,Movements,Year,Date,Natural Language Date,EDTF Date,Date Source,Where,Instrumentation,Orchestration,Estimated Duration,Manuscript Status French,Manuscript Status English,Collaborator?,Text Source,Scanned,Dedication,Notes,Premiere,Recording,Tempo Charted
Orchestral Music,A Farewell,,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Orchestral Music,Allegro agitato,,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Orchestral Music,"Ballade romantique, poème pour hautbois",,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Orchestral Music,Barcarolle,,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Orchestral Music,Boy Scout’s Parade,,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Orchestral Music,Cafunga: conga,,1936,31-Dec,,,LOC-Catalogue Entry,,Chamber Orchestra,,,perdu,,Armando Oréfiche (author),,,,,,,
Orchestral Music,Chant lyrique Transcription pour l’harmonie de la Garde Républicaine réalisée par M. Pierre Dupont,,1938,,,,,,,,,inédit (SACEM),,,,,,,,,
Orchestral Music,Chant lyrique pour saxophone et orchestre,,1937,,,,,,,,,perdu,,,,,,,,,
Orchestral Music,Cinq poèmes chrétiens pour contralto et orchestre,"1- Jésus tombe pour la seconde fois (Paul Claudel), 2- Le Crucifix (Lamartine), 3- La Couronne effeuillée (Desbordes-Valmore), 4- Epiphanie (José-Maria de Heredia), 5- Cantique (Jean Racine)",1944,,,,Score,Paris,Orchestra,4344 4331 T 6perc 2 hpe str: chamber 1111 0000 Pf str,14:00,Editions Durand,Durand for Hire,,,X,"2, 3 et 5 dédiés à Hélène Bouvier, de l’Opéra; 1 A la mémoire de mon frère, Albert Breilh; 4 A la mémoire de mon père",Also a chamber verision and a version for voice and piano (says 1946),Concerts Colonne. Paris 1944.Hélène Bouvier,,
Orchestral Music,Cinq poèmes chrétiens pour voix et orchestre chambre,"1- Jésus tombe pour la seconde fois (Paul Claudel), 2- Le Crucifix (Lamartine), 3- La Couronne effeuillée (Desbordes-Valmore), 4- Epiphanie (José-Maria de Heredia), 5- Cantique (Jean Racine)",1946,17-Nov,17-Nov-46,1946-11-17,Score,Paris,"Mezzo Soprano, Chamber Orchestra",1111 0000 Pf str,14:30,Editions Durand,Durand for Hire,,,X,"2, 3 et 5 dédiés à Hélène Bouvier, de l’Opéra; 1 A la mémoire de mon frère, Albert Breilh; 4 A la mémoire de mon père",Also a full orchestra verision and a version for voice and piano (says 1944),,,
Orchestral Music,Concerto pour clarinette et orchestre,(1- Premier mouvement ; 2- andante ; 3- gigue),1947,,,,Homage,Paris,,,,inédit (SACEM),,,,,Dédié à Louis Cahuzac,,,,
Orchestral Music,Concerto pour harpe et orchestre,(1- allegro ; 2-andante ; 3- Vif et léger ; 4- Fuguette ; 5- Finalallegro molto),1944,9-Aug,,,Score,Voulx,Orchestra,2+1/P.2+Eh.2+Bc.2+Cbn 4331 T+3 Solo Hp Cel Str,,inédit,Manuscript @ AD,,,X,Dédié à Pierre Jamet,Program in Janine Packet,"Concerts Colonne, Pierre Jamet, March 31, 1946. Paul Paray-Conductor. Theatre du Chatelet. Program in Janine packet.",,
Orchestral Music,Concerto pour orgue et orchestre,,1947,,,,Homage,Paris,,,,perdu,Lost,,,,,,,,
Orchestral Music,Concerto pour piano et orchestre,,1948,,,,,,,,,perdu (inachevé ?),Lost/Unfinished,,,,,Also a reduction for solo and 2nd piano,,,
Orchestral Music,Concerto pour saxophone et orchestre,,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Orchestral Music,Concerto pour violoncelle et orchestre,"1- Andantino non troppo; 2-Adgietto, molto tranquillo; 3-Allegro energico",1932,29-Oct,,,Score,New York,Orchestra,2+1.2+1.2+1.2+1 4431 T Hp str,,inédit,Manuscript @ AD,,,X,,Also a reduction of movement 2 for cello and organ,,,X
Orchestral Music,Fantaisie Orientale,,?,,,,,,"Oboe, Orchestra",,,perdu,Snipit on the back of La Parque,,,,,,,,
Orchestral Music,Fantoches (scène de ballet),,,,,,,,,,,inédit (SACEM),Lost,,,,,,,,
Orchestral Music,Hunting Song,,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Orchestral Music,Hymne à Apollon pour harpe solo et orchestre (d’après des fragments monodiques de l’hymne de Mésomède de Crête – 130 ap. J.-C.),I. Choral. Maestoso. II. Fugue. Modéré de fugue.,1944,22-Mar,,,Score,Paris,Orchestra,3*.3*.2+1.3+1 — 4.4.3.1 — timb. - 6 perc. - 2 hpe — cordes,10:00,inédit,Manuscript @ AD,,,X,Dédié à Eugène Bigot,Extensive Program notes,"Concerts Lamoureux. Paris, April 7, 1945",,
Orchestral Music,Intermezzo,,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Orchestral Music,Jazz-Toccata pour saxophone et orchestre,,?,,,,,,,,,perdu,,,,,,,,,
Orchestral Music,L’écran harmonieux,"(1- Soir, 2- Abeilles d’or, 3- Le sommeil de l’enfant, 4- Incantation, 5- Choral)",?,,,,,,,,,inédit (SACEM),,,,,,,,,
Orchestral Music,Le Galop d’après une mélodie de Henri Duparc,,1947,8-Sep,,,Score (BNF),Paris,Orchestra,22(1+2/eh)22 2000 T Hp Str (Chant bass solo),,Editions Durand,Manuscript @ BNF,,Poème de Sully Prudhomme,,No,"Recorded by Charles Panzera, baryton ; Orchestre sous la direction de Jean Fournet.",,,
Orchestral Music,Légende du sud pour trombone et orchestre,,?,,,,,,,,,perdu,,,,X,Dédié à Marcel Dumont,,,,
Orchestral Music,Les clochers de Vienne : Suite de Valses,Introduction and 5 movements,1935,,,,Score,,Orchestra,"1+1.1+1.2.1 2210 T Batterie, Glock, Vibes, Cel, Hp Str",7:00,"Editions de Paris, 1935",{arts Portugese Radio Orchestra and Partal AD,,,X,,,,,
Orchestral Music,"Les Trianons, suite concertante pour clavecin ou piano et orchestre",I. Allegro Moderato; II. Andante; III. Allegro Vivo,1946,28-Aug,,,Score,Paris,Orchestra,1112 2100 Asax Cel Timb 2drums Str,,inédit,Manuscript @ AD,,,X,Dédiée à Marcelle de Lacour,Full Score and Clavecin Part,,,
Orchestral Music,"Madiejda, quatre danses russes pour orchestre",,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Orchestral Music,Marathon-Marche,,?,,,,,,Orchestra,1121 0320 2 AS 1 TS str,,fragments,Manuscript @ AD,,,X,,Piano score and most of parts. Could be played as is,,,
Orchestral Music,Marche arabe,,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Orchestral Music,Marche funèbre égyptienne,,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Orchestral Music,Marche mystérieuse,,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Orchestral Music,Menuet,,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Orchestral Music,Partita,(1 - Menuet ; 2 - Sarabande ; 3 - Pastorale et fugue),1932,,,,Score,,Chamber Orchestra,0000 4431 T str,,Theodore Presser,Rental,,,X,No,Available as rental through Presser.,,,
Orchestral Music,"Poème héroïque pour trompette solo en ut, cor solo en fa et orchestre",,1946,8-Sep,,,Score,Paris,"Solo Horn , Trumpet, Orchestra",3*.2.2+1.3+1 3231 T 4 perc 2hp cel str,,inédit,Manuscript @ AD,,,X,,Decruck scratched out and replaced with Breilh,,,
Orchestral Music,Poème héroïque Réduction pour trompette en ut et piano,,1948,8-Mar,,,Score,Marblehead,"Trumpet , Piano",,,inédit,Manuscript @ AD,,,X,,Probably for Roger Voisin,,,
Orchestral Music,Scherzo Fantasque pour basson et orchestre,,1934,28-May,,,Score,Paris,Chamber Orchestra,1121 2220 T+1 Cel Hp Str,,Editions de Paris,Manuscript @ AD,,,X,"Dédié à Fernand Oubradous, de la Société des Concerts du Conservatoire",AD has set of parts (likely to have been owned by Oubradous). Have not scanned yet,,,
Orchestral Music,Selmera Sax pour saxophone et orchestre,,?,,,,,,,,,perdu,,,,,,,,,
Orchestral Music,Snow Drops,,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Orchestral Music,Solitude,,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Orchestral Music,Sonate en ut dièze mineur pour saxophone alto (ou alto) et orchestre,(1- Modéré et très expressif ; 2- andante ; 3- Fileuse ; 4- Nocturne et final),1943,,,,,,,,,inédit,,,,,"Dédiée à Marcel Mule, professeur de saxophone au Conservatoire",,,,
Orchestral Music,Suite Florentine,(1- Chant prélude ; 2- Sérénade florentine ; 3- Air en sol ;4- Diptyque),?,,,,,,,,,inédit (SACEM),,,,,,,,,
Orchestral Music,Suite Française pour orchestre à cordes avec soli d’instruments à vent,"(1- Fanfare, forlane, branle ; 2- Pavane, nocturne, chanson ; 3- Sarabande, conclusion, choral)",1944,20-Nov,,,Score,Paris,Orchestra,2+opt3.2+opt3.2+1.2+1 43+opt4.31 T+4 Cel 2Hp str,,inédit,Manuscript @ AD,,,,,Reduced Score completed on 11/7/44 in Paris,,,
Orchestral Music,Suite Romane,(1- Prélude ; 2- adagio ; 3-allegro assai),1950,5-Jul,,,Score,,Orchestra,2.1(opt2).2.1(opt2) 2100 T Pf str,10:00,inédit,Manuscript @ AD,,,,Dédié à Minssart,Score/Reduced Score and Parts,,,
Orchestral Music,Suite Scandinave,(1- Printemps dans les fjords ; 2- Patineuses ; 3- Sapins sous la neige ; 4- Sports d’hiver ; 5- Légende de la fille des neiges ; 6- Danse norvégienne),?,,,,,,,,,inédit (SACEM),,,,,,,,,
Orchestral Music,Symphonie brève,"(1- allegro moderato ; 2-andantino ; 3-scherzettino ; 4- final), III- Villes",,,,,,,,,,inédit (SACEM),Lost,,,,,,,,
Orchestral Music,Symphonie orientale (ballet),(1- Prélude ; 2- Danse souple et mesurée ; 3- Air du berger ;4-Pastorale ; 5- Incantation et danse du sorcier ; 6- Apparition de Zaïna ; 7- Danse des sept Zaïna et des sept princes ; 8- Danse mystérieuse ; 9- Danse du supplice ; 10- Nuit orientale et danse avec chœur et soli ; 11- Danse du jour naissant suivi de la danse vertigineuse du soleil ; 12- Apothéose),1941,28-Aug,,,Score,Toulouse,Orchestra,3+1.2+Eh.2+Bc.2+Cbn 4431 T+4 2Hp Cel Str,,inédit,Manuscript @ AD,No,1001 Nights,X,No,Program Notes w/Manuscript,,,
Orchestral Music,"Tapisserie de Ste Geneviève et Jeanne d’Arc, oratorio pour soli, chœur, orgue et orchestrent",,1945-49,,,,,,,,,perdu,,,,,,,,,
Orchestral Music,The Sea Gull,,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Orchestral Music,The Star,,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Orchestral Music,Trio symphonique,,,,,,,,,,,inédit (SACEM),Lost,,,,,,,,
Organ Music,1eSonate pour grand orgue,,1948,,,,,,,,,perdu (brouillon),,,,,,,,,
Organ Music,1eSonate pour orgue,,1946,,,,,,,,,inédit,,,,,,,,,
Organ Music,2eSonate pour grand orgue,(1- andante ; 2- Fantaisie ; 3- Recueillement ; 4- Final),1948,,,,,,,,,inédit,,,,,,,,,
Organ Music,3esonate pour grand orgue,,1947,,,,,,,,,inédit,,,,,,,,,
Organ Music,"Le tombeau de Clérambault, suite",,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Organ Music,Nouveaux chants pour grand orgue,(Entrée en fa ; Offertoire en fa ; Petit Choral ; Pastorale en fa ; Entrée solennelle ; Elévation ; Scherzino ; Choral libre ; Communion ; Pastourelle ; Funérailles ; Berceuse en dialogue ; Printemps ; Sicilienne ; Villanelle ; Dernier chant ; Volutes),1931,1-Dec,,,Score,Toulouse,Solo Organ,,,inédits (SACEM) Editions de Paris (1933) pour Sicilienne et Printemps; Manuscipt @ LOC,,,,X,Dédiés à Fernando Germani,,,,
Organ Music,Prélude en ré mineur pour grand orgue,,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Organ Music,Suite ancienne en si bémol majeur,(1- Prélude ; 2- Courante ; 3- Sarabande ; 4- Gavotte ; 5- Gigue),1929,,,,,,,,,perdu,,,,,,,,,
Organ Music,Suite pour l’orgue moderne,(1- Prélude ; 2- Courante ; 3- Sarabande ; 4- Gavotte ; 5- Gigue),?,,,,,,,,,inédit (SACEM),,,,,,,,,
Organ Music,Symphonie pour grand orgue,"(1- allegro con brio ; 2-allegretto, 3-toccata)",?,,,,,,,,,inédit (SACEM),,,,,,,,,
Organ Music,Trois pièces pour cor anglais et grand orgue,(1- Offrande ; 2- Elévation ; 3- Nativité),1947,November,,,,Paris/Marblehead,"Cello , Organ, transcribed for Cor Anglais , Organ",,,inédit (SACEM),Manuscript @ AD,,,X,,"Not sure, but this is most likely the source material to the 3 pieces played with E. Power Biggs. 1 and 2 movement were written in 4/29/45 in Paris",,,
Organ Music,Variations sur un air gallois,Theme and 12 variations,1928,,,,Score,,Organ,,,"Editions Leduc, 1928",POP @ AD,,,X,dédié à Marcel Dupré,,,,
Solo piano,8 préludes pour piano,1. Crépuscule sur Notre Dame de Paris; 2. Colonnes Antiques (bitonal); 3. Notre-Dame la lune; 4. Le nain; 5. La dame en robe de brocatelle; 6. Invention bitonale; 7. Faux bourdon; 8. Arc-en-ciel (bitonale),1947-48,,,,Score,Marblehead,Solo Piano,,,inédit,Manuscript @ AD,,,X,No,,,,
Solo piano,Andantino et fileuse,,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Solo piano,Aquarium,,1932,January,,,Score,New York,Solo Piano,,,"inédit Editions de Paris, 1933",POP @ AD,,,X,,,,,
Solo piano,"Au soir, nocturne",,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Solo piano,Charme- valse moderato,,1934,21-Jan,,,Score,Paris,Solo Piano,,,inédit,Manuscript @ AD,,,X,,,,,
Solo piano,Christmas Dolls on Parade (Parade des Poupées de Noël) Novelty Fox Trot,,?,,,,,New York?,Solo Piano,,,inédit,Manuscript @ AD,,,X,,Signed by Fay Beryl,,,
Solo piano,Danses et procession andalouses,"(1- Granadina, 2- Tortosina, 3- Saeta, 4- Jota Valenciana)",1930-31,Winter,,,Score,New York,Solo Piano,,,"Editions de Paris, 1933",POP @ AD,,,X,No,,,,
Solo piano,De Chine,"(1- La danseuse, 2- L’éléphant de jade, 3- Le chien pékinois)",?,,,,,,,,,inédit (SACEM),,,,,,,,,
Solo piano,Hispania,(1- En los jardines de Aranjuez ; 2- La caución del vaquero ; 3- Corazón Vente a la Sierra ; 4- La Alegría de la Fiesta ; 5- El Alma de mi España),1931,Summer,,,Score,New York?,Solo Piano,,,LOC,,,,X,George A. Copeland Jr.,,,,
Solo piano,Huit préludes,1- Crépuscule sur Notre-Dame de Paris ; 2- Colonnes antiques (bitonal) ; 3- Notre-Dame la lune ; 4- Le nain ; 5- La dame en robe de brocatelle ; 6- Invention bitonale (à deux armures) ; 7- Faux-bourdon (à deux armures) ; 8- Arc-en-ciel (bitonal),1947-48,,,,,,Solo Piano,,,inédit,,,,,,,,,
Solo piano,Impressions pittoresques,"(1- Fin d’orage, 2- A l’aube, 3- Stream, 4- Au fil de l’eau, 5- Fête villageoise)",?,,,,,,,,,inédit (SACEM),,,,,,,,,
Solo piano,Inventions bitonales (I-VI),,?,,,,,,,,,inédit,,,,,,,,,
Solo piano,Musiques d’été,(1- Ondoiements; 2- Marine ; 3- Rustic),1932,May,,,Score,Auzeville,Solo Piano,,,"Editions de Paris, 1933",POP @ AD,,,X,,"Mvts. 1 & 3 written in May of 1932 at Auzeville, Mvt. 2 written in June of 1932 aboard the Ile de France.",,,
Solo piano,Nouvelles,Mouvement perpétuel,1930-31,,,,Score,New York,Solo Piano,,,inédit,Manuscript @ AD,,,X,Dédié à Jeanne-Marie Darré,,,,
Solo piano,Petite bourrée fantasque,,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Solo piano,Preludio,,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Solo piano,Remembrances,(1- Les lyres cadencées ; 2- Gavotte surannée ; 3- Les vieux remords ; 4- Les anciens songes ; 5- Le dit du Chevalier ; 6- Don Ramirez ; 7- Dona Elvire ; 8- Rêves Pérégrins ; 9- Le Nonchaloir ; 10- Les Fériales ; 11- Au son des clavecins : 12- Le cortège des pluies),,,,,,,,,,"Editions Costallat, ? (2 recueils)",,,,,,,,,
Solo piano,Soleil couchant: Romance sans paroles(ouFeuillet d’album),,1925,21-Jul,,,Score (BNF),,,,,"Editions A. de Smit, 1925",,,,,a Rachel Schneider,,,,
Solo piano,Splendeurs et tristesse d’Espagne,(1- Alhambra; 2- Guerilleros; 3- Murcie; 4- Inquisitions; 5- Escorial),?,,,,,,,,,inédit (SACEM),,,,,,,,,
Solo piano,"Venitian Moon, barcarolle",,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Solo piano,Vieux Noël languedocien avec variations,,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Songs,Bestiaires,"1-Allegrement, clair.; 2- Vif, bien rhythme; 3--Récitatif; 4--Air complete, 5th is incomplete",?,,,,,,"Voice , Piano",,,inédit,Unpublished and incomplete,,Textes de Auguste Miquelard,,,,,,
Organ Music,C’est l’heure charmante,,?,,,,,,,,,inédit (SACEM),,,Texte de Richard Del,,,,,,
Organ Music,Calvaire,,?,,,,,,,,,Inédit (SACEM),,,Texte d’A. Vanet,,,,,,
Organ Music,Châine de Poêmes pour chant choral : Also titled (Pour le jour des Rois),"1) Et s'il revenait un jour 2) D'où vient qu'en cette nuitée 3) Où allez-vous, mes songes",?,,,,,,Mixed Choir SATB,,7:30,inédit,Duplicate of movement 2 manuscript only @ AD; the rest is with Mimi,,"Textes de Maeterlinck, Denisot et Labèque",X,,Poems included for Denisot et Labèque. Most Likely written in 1947 or 1948 in Marblehead because Walter Scott's name is on the score .,,,
Organ Music,Chanson,,?,,,,,,,,,inédit (SACEM),,,Texte de M. Maeterlinck,,,,,,
Organ Music,Chanson Annamite,,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Organ Music,Chanson Chinoise,,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Organ Music,Chanson Chleuh,,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Organ Music,Chanson de Pâques,,?,,,,,,,,,"Editions Costallat, 1944",,,Texte de Stuart Merrill,,"Dédié à Hélène Bouvier, de l’Opéra",,,,
Organ Music,Chanson gothique,,?,,,,,,,,,inédit (SACEM),,,Texte de Gérard de Nerval,,,,,,
Organ Music,Chanson Hawaïenne,,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Organ Music,Chanson Indienne ouTitacampa,,,,,,,,,,,inédit (SACEM),,,Texte de P. de Joannis,,,,,,
Organ Music,Chanson Japonaise,,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Organ Music,Chanson Napolitaine(orchestre),,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Organ Music,Comme le prunier et comme l’oiseau,,1935,6-Jun,,,SACEM,,"Voice , Piano",,,inédit,Manuscript @ AD,,Texte de Jean Calmès,X,,,,,
Organ Music,Dans la pénombre grise,,?,,,,,,,,,"Editions de Paris, ?",,,Texte de la Comtesse de Tolstoï,,,,,,
Organ Music,Dans les ombres du Yoshiwara,,1937,13-Feb,,,SACEM,,"Voice , Piano",,,inédit (SACEM),Manuscript @ AD,,Texte de Jean Calmès,X,No,,,,
Organ Music,De Cristal vêtue,,1934,,,,Score,,"Voice , Piano",,,"Editions de Paris, 1934",POP @ AD,,Texte de la Comtesse de Tolstoï,X,Dédié à Geneviève Vix,,,,
Organ Music,Di-da-dou(berceuse),,1934,,,,Score,,"Voice , Piano",,,"Editions de Paris, 1934",POP @ AD,,Texte de la Comtesse de Tolstoï,X,Dédié à Jeannine et Michel,,,,
Organ Music,Espoir en Dieu,,?,,,,,,"Voice , Piano",,,inédit,Unpublished and incomplete,,Texte de Louis Rollin,X,Dédié à Monique Rollin,,,,
Organ Music,Extase,,?,,,,,,,,,Editions de Paris (SACEM),,,Texte de Richard Del,,,,,,
Organ Music,Heures ternes,,?,,,,,,,,,inédit (SACEM),,,Texte de M. Maeterlinck,,,,,,
Organ Music,Hissez les voiles,,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Organ Music,Il pleut,,?,,,,,,,,,perdu ( ?),,,Texte de Guillaume Apollinaire,,,,,,
Organ Music,Jaskina,,?,,,,,,,,,inédit (SACEM),,,Texte de M. Bataille,,,,,,
Organ Music,L’abri de mon rêve,,?,,,,,,,,,"Editions de Paris, ? (SACEM)",,,Texte de M. Bataille,,,,,,
Organ Music,La Berceuse de Marie-Madeleine,,1945,6-Jun,,,Score,Paris,"Voice , Piano",,,Editions de Paris,POP & Manuscript @ Alain Decruck,,Texte de Auguste Miquelard,X,,,,,
Organ Music,La chanson de Sanja,,?,,,,,,,,,inédit (SACEM),,,Texte de M. Bataille,,,,,,
Organ Music,La Mendiante,,?,,,,,,,,,"Editions de Paris, ?",,,Texte de la Comtesse de Tolstoï,,,,,,
Organ Music,La pendule de marbre blanc,,1936,,,,Score,,"Voice , Piano",,,"Editions de Paris, 1936",POP @ AD,,Texte de Jean Calmès,X,,,,,
Organ Music,La route au soleil,,?,,,,,,,,,Editions de Paris (SACEM),,,Texte de M. Bataille,,,,,,
Organ Music,Le Cavalier,,?,,,,,,,,,inédit (SACEM),,,Texte de St. Georges de Bouhelier,,,,,,
Organ Music,Le Lézard à l’écaille grise,4 movements,?,,,,,,"Voice , Piano",,,inédit,Manuscript @ AD,,Texte de A. Miquelard,X,,Piano score only with words written in,,,
Organ Music,Le mariage de Mitsou,,?,,,,,,,,,inédit (SACEM),,,Texte de M. Bataille,,,,,,
Organ Music,Le Pont de soie,,1944,25-May,,,Score (BNF),,"Voice , Piano",,,"Editions Costallat, 1944",,,Texte de Paul Fort,X,Dédié à Charles Panzera,,,,
Organ Music,Le Rigaudon,,1934,,,,Score,,"Voice , Piano",,,"Editions de Paris, 1934",POP @ AD,,Texte de la Comtesse de Tolstoï,X,Dédié à Geneviève Vix,,,,
Organ Music,Le roi de Thulé,,?,,,,,,,,,inédit (SACEM),,,Texte de Gérard de Nerval,,,,,,
Organ Music,Le Sablier,,1935,,,,Score,,"Voice , Piano",,,"Editions de Paris, ?",,,Texte de la Comtesse de Tolstoï,X,No,,,,
Organ Music,Le Secret de la brise,,?,,,,,,,,,inédit (SACEM),,,Texte de Richard Del,,,,,,
Organ Music,Les Effarés,,1943,1-Jun,,,Score,Paris,"Voice , Piano",,,inédit,Manuscript @ AD,,Texte d’Arthur Rimbaud,X,Dédié à Noémie Perugia,,,,
Organ Music,Les Horloges,,1946,,,,Score,,"Voice , Piano",,,"Editions Costallat, 1946",POP & Manuscript @ Alain Decruck,,Texte de Emile Verhaeren,X,"Dédié à Hélène Bouvier, de l’Opéra",,,,
Organ Music,"Les Jardins de la joie, recueil de chants",(Il fait bleu ; La maison du bonheur ; Vas-y de tout ton cœur ; En poussant ta navette ; Elle est belle ma campagne ; Jean-Marie le marin ; Chanson pour maman ; Prière à M. le Bon Dieu ; Le soleil est à tout le monde ; Ronde provençale ; Gascogne et Périgord ; La ronde des saisons),?,,,,,,,,,Baëtz,,,Texte de P. de Joannis et P. Ducou,,,,,,
Organ Music,Les trois angélus,,?,,,,,,,,,inédit (SACEM),,,Texte de P. Grandy,,,,,,
Organ Music,Nocturne,,?,,,,,,,,,inédit (SACEM),,,Texte de Jean Moréas,,,,,,
Organ Music,Nuit des villages ou amour dédaigné,,?,,,,,,,,,"perdu, Editions Costallat, ?",,,Texte de M. Fombeure,,,,,,
Organ Music,O Pater Noster,,?,,,,,,,,,Paribus,,,,,,,,,
Organ Music,O Salutaris,,?,,,,,,,,,Paribeus,,,,,,,,,
Organ Music,O Salutaris Hostia,,?,,,,,,,,,Paribus,,,,,,,,,
Organ Music,Pluie,,?,,,,,,,,,inédit (SACEM),,,Texte de Richard Del,,,,,,
Organ Music,Pour le libre des Amours…,3 Extraits du libre des Amours de Pierre de Ronsard) 1) Voice le bois...; 2) Or' que le ciel…; 3) A un aubé pin...,,,,,,,Mixed Choir SATB,,5:15,inédit,Manuscript @ JD,,,X,,Poems of Pierre de Ronsard; Most Likely written in 1947 or 1948 in Marblehead because Walter Scott's name is on the score .,,,
Organ Music,Prière de Mitsou,,?,,,,,,,,,Editions de Paris,,,Texte de M. Bataille,,,,,,
Organ Music,Prière pour dormir heureux,,?,,,,,,,,,"perdu, Editions Costallat, ?",,,Texte de M. Fombeure,,,,,,
Organ Music,"Robe blanche, pensées noires",,?,,,,,,,,,inédit (SACEM),,,Texte de M. Bataille,,,,,,
Organ Music,Royauté,,?,,,,,,,,,inédit (SACEM),,,Texte de Stuart Merril,,,,,,
Organ Music,Six Melodies,(Souvenir; Tristesse; Quietude; Serenade; Nocturne; Melancolie),,,,,,,"Voice , Piano",,,"perdu, Editions de Paris",,,Poésies de Fernande Decruck,,,,,,
Organ Music,Soir dans la pagode,,1946,,,,Score,,"Voice , Piano",,,"Editions Costallat, 1946",POP @ AD,,Texte de Raphaël Barquisseau,X,,,,,
Organ Music,Soldats de la Paix!,,1942,7-Feb,,,Score,Toulouse,"Voice , Piano",,,inédit (SACEM),Manuscript @ AD,René Azum-music and Georges Haquard Lyrics,,X,No,,,,
Organ Music,Suite pour chant Choral,(1- Prélude; 2- Allegro moderato; 3- Andantino espressivo; 4- Moderato serioso),,,,,,,Mixed Choir SATB,,7:15,inédit,Manuscript @ JD,,,X,,Poems of Arthur Rimbaud; Most Likely written in 1947 or 1948 in Marblehead because Walter Scott's name is on the score .,,,
Organ Music,Sur le grand lac,,1946,,,,Score,,"Voice , Piano",,,"Editions Costallat, 1946",POP @ AD,,Texte de Raphaël Barquisseau,X,,,,,
Organ Music,"Tous les deux, mon doux mari",,?,,,,,,,,,inédit (SACEM),,,Texte de M. Bataille,,,,,,
Organ Music,Tragique berceuse,,?,,,,,,,,,inédit (SACEM),,,Texte de Richard Del,,,,,,
Organ Music,"Viens petit Noël, prière enfantine",,1939,,,,Score,,"Voice , Piano",,,"Editions de Paris, 1939",POP @ AD,,Texte de Jean Bretière,X,,,,,
Vocal Music,"Cantique à la Vierge pour chant, harpe, quintette à cordes et orgue",,?,,,,,,,,,perdu,,,,,,,,,
Vocal Music,Cinq poèmes chrétienspour contralto et orchestre Réduction pour soprano et piano,"1- Jésus tombe pour la seconde fois (Paul Claudel), 2- Le Crucifix (Lamartine), 3- La Couronne effeuillée (Desbordes-Valmore), 4- Epiphanie (José-Maria de Heredia), 5- Cantique (Jean Racine)",1944,,,,Score,,"Voice , Piano",,,"Editions Durand, 1944",Printed Copies @ AD,,,X,"2, 3 et 5 dédiés à Hélène Bouvier, de l’Opéra; 1 A la mémoire de mon frère, Albert Breilh; 4 A la mémoire de mon père",,,,
Vocal Music,"Les Illuminations (Symphonie Rimbaldienne)pour orchestre symphonique, chœur, soli et récitant","I- Prélude (Rimboud), II- Six lieder pour deux solistes, récitant et orchestre : 1- Aube ; 2- J’ai tendu des cordes de clocher à clocher ; 3- Des fleurs magiques bourdonnaient ; 4- Au bois il y a un oiseau ; 5- Je suis le saint ; 6- Qu’on me loue enfin ce tombeau, III. Villes",1943,,,,,Paris,,,,Editions Costallat (II- Six lieder) 1e et 3e mouvements inédits,,,Rimbaud,,Dédié à Charles Panzera,,Concerts Lamoureux. Paris 1943. Hélène Bouvier & Charles Panzéra,,
Vocal Music,Poèmes de l’anthologie grecquepour soprano et orchestre,"1- Des navettes (Philippe de Thessalonique, Iesiècle ap. J.-C.) ; 2- Timaréta (épigramme votive) ; 3- L’offrande ; 4- Les flots et les vagues houleuses (3-4 : épigrammes votives d’Antipater de Thessalonique) ; 5- Thyrsis (épigramme funéraire de Myrinos) ; 6- Sauterelle (Méléagre, 140 av. J.-C.) ; 7- Héliodora (épigramme funéraire de Méléagre) ; 8- Sur la stèle d’Aleximénès (épigramme funéraire de Dioscoride, IIIe siècle av. J.-C.)",1944,,,,,,,,,inédit,,,,,,,,,
