Genre,Title,Movements,Year,Date,Natural Language Date,EDTF Date,Date Source,Where,Instrumentation,Orchestration,Estimated Duration,Manuscript Status French,Manuscript Status English,Collaborator?,Text Source,Scanned,Dedication,Notes,Premiere,Recording,Tempo Charted
Chamber Music,Arioso pour clarinette contrebasse si bémol et piano,,1932,27-Jan,,,Score,New York?,"Bass Clarinet , Piano",,,LOC,Manuscript @ LOC,,,X,Leon Leblanc,,,,
Chamber Music,Boutade pour clarinette et piano,,?,,,,,,,,,"Editions de Paris, ? (SACEM)",,,,,,,,,
Chamber Music,Cantilène pour clarinette (ou violin) en si bémol avec accompagnement piano,,1933,6-Dec,,,Score,Paris,"Clarinet or Violin , Piano",,,"Editions de Paris, 1934 ; Editions SEMI",POP & Manuscript of Violin @ AD,No,,X,Dédié à Gaston Hamelin,,,,
Chamber Music,Cantique eucharistique et Hymne au Christ,,1944,,,,Homage,Paris,"Voice, Cello , Organ",,,perdu,Lost,,,,,,"Eglise des Dominicains. Paris, 1944.",,
Chamber Music,Cantique pour violoncelle et piano,,1932,,,,Score,New York,"Cello , Piano",,,"Maurice Decruck, éditeur, 1932",POP @ AD; Cello Manuscript 2 LOC,,,X,Dédié à Robert Refuveille Violoncelle Solo de la N.B.C. de New York,,,,
Chamber Music,"Capriccio, trio pour hautbois, clarinette et basson",,1933,7-Dec,,,Manuscript,Paris,"Oboe, Clarinet , Bassoon",,5:00,"Editions de Paris, 1934",POP @ AD,,,X,,,,Reference by Reeds Amis,
Chamber Music,Chant Hebraïque,,1934,,,,Score,,"Violin , Piano",,,"Editions de Paris, 1934",POP @ AD,Georges Tzipine,,X,,,,,
Chamber Music,"Chant lyrique (op. 69) revision pour flûte, hautbois/cor anglais, clarinette, basson, cor et piano",,1947-48,,,,Score,Marblehead,"Flute, Oboe/English horn, Clarinet, Bassoon, Horn , Piano",,,inédit but the score is marked Editions Selmer,Manuscript @ AD,,,X,Dédiée à François Combelle,Earlier version for saxophone from 1934,,,
Chamber Music,Chant lyrique (opus 69) pour saxophone alto mi bémol avec accompagnement piano,,1932,6-Feb,,,Score,,"Alto Saxophone , Piano",,6:00,"Editions Selmer, 1932",Manuscript @ POP @ AD,,,X,Dédié à François Combelle,"Multiple versions for band, orchestra and wind 5tet w/piano.",,Jean-Pierre Baraglioli-saxophone,
Chamber Music,Complainte de Dinah pour saxophone alto mi bémol avec accompagnement piano,,1934,16-Mar,,,Score,Paris,"Alto Saxophone , Piano",,,"Editions de Paris, 1934",POP @ AD,,,X,No,Piano Part only,,Jean-Pierre Baraglioli-saxophone,
Chamber Music,"Danse cambodgienne pour flûte, violon et piano",,1949,,,,,Fontainebleau,"Flute, Violin , Piano",,,inédit,Manuscript @ AD,,,X,,,,,
Chamber Music,"Danse hindoue pour flûte, violon et piano",,1949,,,,Score,Fontainebleau,"Flute, Violin , Piano",,,inédit,Manuscript @ AD,,,X,,,,,
